漢字,部首,画数,学年,追加年,読み
鴇,NA,NA,jun1kyu,NA,NA
鳶,NA,NA,jun1kyu,NA,NA
噸,NA,NA,jun1kyu,NA,NA
呑,NA,NA,jun1kyu,NA,NA
捺,NA,NA,jun1kyu,NA,NA
汝,NA,NA,jun1kyu,NA,NA
禰,NA,NA,jun1kyu,NA,NA
廼,NA,NA,jun1kyu,NA,NA
覗,NA,NA,jun1kyu,NA,NA
琶,NA,NA,jun1kyu,NA,NA
煤,NA,NA,jun1kyu,NA,NA
矧,NA,NA,jun1kyu,NA,NA
曝,NA,NA,jun1kyu,NA,NA
肇,NA,NA,jun1kyu,NA,NA
醗,NA,NA,jun1kyu,NA,NA
蛤,NA,NA,jun1kyu,NA,NA
蕃,NA,NA,jun1kyu,NA,NA
誹,NA,NA,jun1kyu,NA,NA
琵,NA,NA,jun1kyu,NA,NA
彦,NA,NA,jun1kyu,NA,NA
桧,NA,NA,jun1kyu,NA,NA
豹,NA,NA,jun1kyu,NA,NA
蛭,NA,NA,jun1kyu,NA,NA
埠,NA,NA,jun1kyu,NA,NA
蕪,NA,NA,jun1kyu,NA,NA
弗,NA,NA,jun1kyu,NA,NA
糞,NA,NA,jun1kyu,NA,NA
箆,NA,NA,jun1kyu,NA,NA
圃,NA,NA,jun1kyu,NA,NA
呆,NA,NA,jun1kyu,NA,NA
烹,NA,NA,jun1kyu,NA,NA
鵬,NA,NA,jun1kyu,NA,NA
釦,NA,NA,jun1kyu,NA,NA
鮪,NA,NA,jun1kyu,NA,NA
沫,NA,NA,jun1kyu,NA,NA
箕,NA,NA,jun1kyu,NA,NA
牟,NA,NA,jun1kyu,NA,NA
棉,NA,NA,jun1kyu,NA,NA
儲,NA,NA,jun1kyu,NA,NA
貰,NA,NA,jun1kyu,NA,NA
耶,NA,NA,jun1kyu,NA,NA
佑,NA,NA,jun1kyu,NA,NA
猷,NA,NA,jun1kyu,NA,NA
楊,NA,NA,jun1kyu,NA,NA
慾,NA,NA,jun1kyu,NA,NA
蘭,NA,NA,jun1kyu,NA,NA
劉,NA,NA,jun1kyu,NA,NA
梁,NA,NA,jun1kyu,NA,NA
燐,NA,NA,jun1kyu,NA,NA
嶺,NA,NA,jun1kyu,NA,NA
漣,NA,NA,jun1kyu,NA,NA
魯,NA,NA,jun1kyu,NA,NA
篭,NA,NA,jun1kyu,NA,NA
倭,NA,NA,jun1kyu,NA,NA
鰐,NA,NA,jun1kyu,NA,NA
碗,NA,NA,jun1kyu,NA,NA
厰,NA,NA,jun1kyu,NA,NA
嵳,NA,NA,jun1kyu,NA,NA
檜,NA,NA,jun1kyu,NA,NA
溯,NA,NA,jun1kyu,NA,NA
礦,NA,NA,jun1kyu,NA,NA
纒,NA,NA,jun1kyu,NA,NA
萠,NA,NA,jun1kyu,NA,NA
蠣,NA,NA,jun1kyu,NA,NA
讚,NA,NA,jun1kyu,NA,NA
鎔,NA,NA,jun1kyu,NA,NA
鰺,NA,NA,jun1kyu,NA,NA
麒,NA,NA,jun1kyu,NA,NA
吞,NA,NA,jun1kyu,NA,NA
囊,NA,NA,jun1kyu,NA,NA
毗,NA,NA,jun1kyu,NA,NA
禱,NA,NA,jun1kyu,NA,NA
萊,NA,NA,jun1kyu,NA,NA
蠟,NA,NA,jun1kyu,NA,NA
驒,NA,NA,jun1kyu,NA,NA
娃,NA,NA,jun1kyu,NA,NA
茜,NA,NA,jun1kyu,NA,NA
鯵,NA,NA,jun1kyu,NA,NA
飴,NA,NA,jun1kyu,NA,NA
粟,NA,NA,jun1kyu,NA,NA
杏,NA,NA,jun1kyu,NA,NA
亥,NA,NA,jun1kyu,NA,NA
允,NA,NA,jun1kyu,NA,NA
迂,NA,NA,jun1kyu,NA,NA
碓,NA,NA,jun1kyu,NA,NA
厩,NA,NA,jun1kyu,NA,NA
荏,NA,NA,jun1kyu,NA,NA
瑛,NA,NA,jun1kyu,NA,NA
厭,NA,NA,jun1kyu,NA,NA
燕,NA,NA,jun1kyu,NA,NA
甥,NA,NA,jun1kyu,NA,NA
桶,NA,NA,jun1kyu,NA,NA
禾,NA,NA,jun1kyu,NA,NA
霞,NA,NA,jun1kyu,NA,NA
駕,NA,NA,jun1kyu,NA,NA
芥,NA,NA,jun1kyu,NA,NA
鎧,NA,NA,jun1kyu,NA,NA
鈎,NA,NA,jun1kyu,NA,NA
笠,NA,NA,jun1kyu,NA,NA
恰,NA,NA,jun1kyu,NA,NA
鞄,NA,NA,jun1kyu,NA,NA
鴨,NA,NA,jun1kyu,NA,NA
侃,NA,NA,jun1kyu,NA,NA
潅,NA,NA,jun1kyu,NA,NA
舘,NA,NA,jun1kyu,NA,NA
雁,NA,NA,jun1kyu,NA,NA
妓,NA,NA,jun1kyu,NA,NA
鞠,NA,NA,jun1kyu,NA,NA
杵,NA,NA,jun1kyu,NA,NA
笈,NA,NA,jun1kyu,NA,NA
侠,NA,NA,jun1kyu,NA,NA
喬,NA,NA,jun1kyu,NA,NA
尭,NA,NA,jun1kyu,NA,NA
禽,NA,NA,jun1kyu,NA,NA
玖,NA,NA,jun1kyu,NA,NA
寓,NA,NA,jun1kyu,NA,NA
轡,NA,NA,jun1kyu,NA,NA
鍬,NA,NA,jun1kyu,NA,NA
珪,NA,NA,jun1kyu,NA,NA
罫,NA,NA,jun1kyu,NA,NA
倦,NA,NA,jun1kyu,NA,NA
鹸,NA,NA,jun1kyu,NA,NA
狐,NA,NA,jun1kyu,NA,NA
跨,NA,NA,jun1kyu,NA,NA
檎,NA,NA,jun1kyu,NA,NA
倖,NA,NA,jun1kyu,NA,NA
弘,NA,NA,jun1kyu,NA,NA
糠,NA,NA,jun1kyu,NA,NA
砿,NA,NA,jun1kyu,NA,NA
濠,NA,NA,jun1kyu,NA,NA
甑,NA,NA,jun1kyu,NA,NA
坤,NA,NA,jun1kyu,NA,NA
叉,NA,NA,jun1kyu,NA,NA
哉,NA,NA,jun1kyu,NA,NA
榊,NA,NA,jun1kyu,NA,NA
鮭,NA,NA,jun1kyu,NA,NA
鯖,NA,NA,jun1kyu,NA,NA
撒,NA,NA,jun1kyu,NA,NA
餐,NA,NA,jun1kyu,NA,NA
獅,NA,NA,jun1kyu,NA,NA
汐,NA,NA,jun1kyu,NA,NA
悉,NA,NA,jun1kyu,NA,NA
屡,NA,NA,jun1kyu,NA,NA
杓,NA,NA,jun1kyu,NA,NA
洲,NA,NA,jun1kyu,NA,NA
什,NA,NA,jun1kyu,NA,NA
舜,NA,NA,jun1kyu,NA,NA
曙,NA,NA,jun1kyu,NA,NA
鋤,NA,NA,jun1kyu,NA,NA
庄,NA,NA,jun1kyu,NA,NA
樟,NA,NA,jun1kyu,NA,NA
蕉,NA,NA,jun1kyu,NA,NA
鞘,NA,NA,jun1kyu,NA,NA
埴,NA,NA,jun1kyu,NA,NA
疹,NA,NA,jun1kyu,NA,NA
靭,NA,NA,jun1kyu,NA,NA
翠,NA,NA,jun1kyu,NA,NA
趨,NA,NA,jun1kyu,NA,NA
雀,NA,NA,jun1kyu,NA,NA
蹟,NA,NA,jun1kyu,NA,NA
栴,NA,NA,jun1kyu,NA,NA
賎,NA,NA,jun1kyu,NA,NA
岨,NA,NA,jun1kyu,NA,NA
叢,NA,NA,jun1kyu,NA,NA
槍,NA,NA,jun1kyu,NA,NA
蒼,NA,NA,jun1kyu,NA,NA
柁,NA,NA,jun1kyu,NA,NA
岱,NA,NA,jun1kyu,NA,NA
醍,NA,NA,jun1kyu,NA,NA
鐸,NA,NA,jun1kyu,NA,NA
叩,NA,NA,jun1kyu,NA,NA
狸,NA,NA,jun1kyu,NA,NA
湛,NA,NA,jun1kyu,NA,NA
弛,NA,NA,jun1kyu,NA,NA
註,NA,NA,jun1kyu,NA,NA
凋,NA,NA,jun1kyu,NA,NA
牒,NA,NA,jun1kyu,NA,NA
槌,NA,NA,jun1kyu,NA,NA
佃,NA,NA,jun1kyu,NA,NA
鍔,NA,NA,jun1kyu,NA,NA
吊,NA,NA,jun1kyu,NA,NA
汀,NA,NA,jun1kyu,NA,NA
釘,NA,NA,jun1kyu,NA,NA
纏,NA,NA,jun1kyu,NA,NA
堵,NA,NA,jun1kyu,NA,NA
砺,NA,NA,jun1kyu,NA,NA
梼,NA,NA,jun1kyu,NA,NA
蕩,NA,NA,jun1kyu,NA,NA
涜,NA,NA,jun1kyu,NA,NA
苫,NA,NA,jun1kyu,NA,NA
惇,NA,NA,jun1kyu,NA,NA
乍,NA,NA,jun1kyu,NA,NA
楢,NA,NA,jun1kyu,NA,NA
賑,NA,NA,jun1kyu,NA,NA
祢,NA,NA,jun1kyu,NA,NA
之,NA,NA,jun1kyu,NA,NA
蚤,NA,NA,jun1kyu,NA,NA
芭,NA,NA,jun1kyu,NA,NA
狽,NA,NA,jun1kyu,NA,NA
萩,NA,NA,jun1kyu,NA,NA
莫,NA,NA,jun1kyu,NA,NA
筈,NA,NA,jun1kyu,NA,NA
筏,NA,NA,jun1kyu,NA,NA
隼,NA,NA,jun1kyu,NA,NA
匪,NA,NA,jun1kyu,NA,NA
樋,NA,NA,jun1kyu,NA,NA
柊,NA,NA,jun1kyu,NA,NA
菱,NA,NA,jun1kyu,NA,NA
紐,NA,NA,jun1kyu,NA,NA
廟,NA,NA,jun1kyu,NA,NA
鰭,NA,NA,jun1kyu,NA,NA
斧,NA,NA,jun1kyu,NA,NA
楓,NA,NA,jun1kyu,NA,NA
鮒,NA,NA,jun1kyu,NA,NA
頁,NA,NA,jun1kyu,NA,NA
篇,NA,NA,jun1kyu,NA,NA
甫,NA,NA,jun1kyu,NA,NA
峯,NA,NA,jun1kyu,NA,NA
萌,NA,NA,jun1kyu,NA,NA
鉾,NA,NA,jun1kyu,NA,NA
殆,NA,NA,jun1kyu,NA,NA
柾,NA,NA,jun1kyu,NA,NA
迄,NA,NA,jun1kyu,NA,NA
湊,NA,NA,jun1kyu,NA,NA
鵡,NA,NA,jun1kyu,NA,NA
緬,NA,NA,jun1kyu,NA,NA
杢,NA,NA,jun1kyu,NA,NA
悶,NA,NA,jun1kyu,NA,NA
靖,NA,NA,jun1kyu,NA,NA
宥,NA,NA,jun1kyu,NA,NA
祐,NA,NA,jun1kyu,NA,NA
熔,NA,NA,jun1kyu,NA,NA
淀,NA,NA,jun1kyu,NA,NA
李,NA,NA,jun1kyu,NA,NA
溜,NA,NA,jun1kyu,NA,NA
稜,NA,NA,jun1kyu,NA,NA
琳,NA,NA,jun1kyu,NA,NA
怜,NA,NA,jun1kyu,NA,NA
煉,NA,NA,jun1kyu,NA,NA
櫓,NA,NA,jun1kyu,NA,NA
聾,NA,NA,jun1kyu,NA,NA
歪,NA,NA,jun1kyu,NA,NA
詫,NA,NA,jun1kyu,NA,NA
儘,NA,NA,jun1kyu,NA,NA
咒,NA,NA,jun1kyu,NA,NA
廐,NA,NA,jun1kyu,NA,NA
檮,NA,NA,jun1kyu,NA,NA
漑,NA,NA,jun1kyu,NA,NA
礪,NA,NA,jun1kyu,NA,NA
翆,NA,NA,jun1kyu,NA,NA
葢,NA,NA,jun1kyu,NA,NA
蛛,NA,NA,jun1kyu,NA,NA
豎,NA,NA,jun1kyu,NA,NA
靱,NA,NA,jun1kyu,NA,NA
鴈,NA,NA,jun1kyu,NA,NA
麪,NA,NA,jun1kyu,NA,NA
啐,NA,NA,jun1kyu,NA,NA
屢,NA,NA,jun1kyu,NA,NA
潑,NA,NA,jun1kyu,NA,NA
簞,NA,NA,jun1kyu,NA,NA
蔣,NA,NA,jun1kyu,NA,NA
軀,NA,NA,jun1kyu,NA,NA
鷗,NA,NA,jun1kyu,NA,NA
阿,NA,NA,jun1kyu,NA,NA
穐,NA,NA,jun1kyu,NA,NA
梓,NA,NA,jun1kyu,NA,NA
絢,NA,NA,jun1kyu,NA,NA
袷,NA,NA,jun1kyu,NA,NA
伊,NA,NA,jun1kyu,NA,NA
郁,NA,NA,jun1kyu,NA,NA
胤,NA,NA,jun1kyu,NA,NA
卯,NA,NA,jun1kyu,NA,NA
嘘,NA,NA,jun1kyu,NA,NA
瓜,NA,NA,jun1kyu,NA,NA
叡,NA,NA,jun1kyu,NA,NA
盈,NA,NA,jun1kyu,NA,NA
堰,NA,NA,jun1kyu,NA,NA
苑,NA,NA,jun1kyu,NA,NA
襖,NA,NA,jun1kyu,NA,NA
牡,NA,NA,jun1kyu,NA,NA
茄,NA,NA,jun1kyu,NA,NA
俄,NA,NA,jun1kyu,NA,NA
廻,NA,NA,jun1kyu,NA,NA
蟹,NA,NA,jun1kyu,NA,NA
浬,NA,NA,jun1kyu,NA,NA
劃,NA,NA,jun1kyu,NA,NA
樫,NA,NA,jun1kyu,NA,NA
鰹,NA,NA,jun1kyu,NA,NA
兜,NA,NA,jun1kyu,NA,NA
茅,NA,NA,jun1kyu,NA,NA
姦,NA,NA,jun1kyu,NA,NA
竿,NA,NA,jun1kyu,NA,NA
巌,NA,NA,jun1kyu,NA,NA
嬉,NA,NA,jun1kyu,NA,NA
祇,NA,NA,jun1kyu,NA,NA
吃,NA,NA,jun1kyu,NA,NA
黍,NA,NA,jun1kyu,NA,NA
渠,NA,NA,jun1kyu,NA,NA
僑,NA,NA,jun1kyu,NA,NA
彊,NA,NA,jun1kyu,NA,NA
桐,NA,NA,jun1kyu,NA,NA
芹,NA,NA,jun1kyu,NA,NA
矩,NA,NA,jun1kyu,NA,NA
櫛,NA,NA,jun1kyu,NA,NA
窪,NA,NA,jun1kyu,NA,NA
卦,NA,NA,jun1kyu,NA,NA
慧,NA,NA,jun1kyu,NA,NA
荊,NA,NA,jun1kyu,NA,NA
喧,NA,NA,jun1kyu,NA,NA
絃,NA,NA,jun1kyu,NA,NA
糊,NA,NA,jun1kyu,NA,NA
鈷,NA,NA,jun1kyu,NA,NA
瑚,NA,NA,jun1kyu,NA,NA
垢,NA,NA,jun1kyu,NA,NA
昂,NA,NA,jun1kyu,NA,NA
紘,NA,NA,jun1kyu,NA,NA
閤,NA,NA,jun1kyu,NA,NA
轟,NA,NA,jun1kyu,NA,NA
忽,NA,NA,jun1kyu,NA,NA
昏,NA,NA,jun1kyu,NA,NA
嵯,NA,NA,jun1kyu,NA,NA
犀,NA,NA,jun1kyu,NA,NA
肴,NA,NA,jun1kyu,NA,NA
笹,NA,NA,jun1kyu,NA,NA
捌,NA,NA,jun1kyu,NA,NA
燦,NA,NA,jun1kyu,NA,NA
仔,NA,NA,jun1kyu,NA,NA
爾,NA,NA,jun1kyu,NA,NA
鴫,NA,NA,jun1kyu,NA,NA
蔀,NA,NA,jun1kyu,NA,NA
蕊,NA,NA,jun1kyu,NA,NA
灼,NA,NA,jun1kyu,NA,NA
繍,NA,NA,jun1kyu,NA,NA
戎,NA,NA,jun1kyu,NA,NA
駿,NA,NA,jun1kyu,NA,NA
渚,NA,NA,jun1kyu,NA,NA
哨,NA,NA,jun1kyu,NA,NA
廠,NA,NA,jun1kyu,NA,NA
樵,NA,NA,jun1kyu,NA,NA
裳,NA,NA,jun1kyu,NA,NA
丞,NA,NA,jun1kyu,NA,NA
燭,NA,NA,jun1kyu,NA,NA
秦,NA,NA,jun1kyu,NA,NA
笥,NA,NA,jun1kyu,NA,NA
錐,NA,NA,jun1kyu,NA,NA
雛,NA,NA,jun1kyu,NA,NA
摺,NA,NA,jun1kyu,NA,NA
碩,NA,NA,jun1kyu,NA,NA
煽,NA,NA,jun1kyu,NA,NA
銑,NA,NA,jun1kyu,NA,NA
楚,NA,NA,jun1kyu,NA,NA
宋,NA,NA,jun1kyu,NA,NA
漕,NA,NA,jun1kyu,NA,NA
鎗,NA,NA,jun1kyu,NA,NA
舵,NA,NA,jun1kyu,NA,NA
腿,NA,NA,jun1kyu,NA,NA
鷹,NA,NA,jun1kyu,NA,NA
茸,NA,NA,jun1kyu,NA,NA
辰,NA,NA,jun1kyu,NA,NA
鱈,NA,NA,jun1kyu,NA,NA
箪,NA,NA,jun1kyu,NA,NA
智,NA,NA,jun1kyu,NA,NA
樗,NA,NA,jun1kyu,NA,NA
喋,NA,NA,jun1kyu,NA,NA
脹,NA,NA,jun1kyu,NA,NA
鎚,NA,NA,jun1kyu,NA,NA
柘,NA,NA,jun1kyu,NA,NA
椿,NA,NA,jun1kyu,NA,NA
剃,NA,NA,jun1kyu,NA,NA
碇,NA,NA,jun1kyu,NA,NA
鼎,NA,NA,jun1kyu,NA,NA
甜,NA,NA,jun1kyu,NA,NA
杜,NA,NA,jun1kyu,NA,NA
塘,NA,NA,jun1kyu,NA,NA
淘,NA,NA,jun1kyu,NA,NA
鐙,NA,NA,jun1kyu,NA,NA
禿,NA,NA,jun1kyu,NA,NA
寅,NA,NA,jun1kyu,NA,NA
敦,NA,NA,jun1kyu,NA,NA
凪,NA,NA,jun1kyu,NA,NA
馴,NA,NA,jun1kyu,NA,NA
廿,NA,NA,jun1kyu,NA,NA
葱,NA,NA,jun1kyu,NA,NA
埜,NA,NA,jun1kyu,NA,NA
巴,NA,NA,jun1kyu,NA,NA
盃,NA,NA,jun1kyu,NA,NA
這,NA,NA,jun1kyu,NA,NA
柏,NA,NA,jun1kyu,NA,NA
駁,NA,NA,jun1kyu,NA,NA
幡,NA,NA,jun1kyu,NA,NA
鳩,NA,NA,jun1kyu,NA,NA
叛,NA,NA,jun1kyu,NA,NA
庇,NA,NA,jun1kyu,NA,NA
簸,NA,NA,jun1kyu,NA,NA
稗,NA,NA,jun1kyu,NA,NA
弼,NA,NA,jun1kyu,NA,NA
謬,NA,NA,jun1kyu,NA,NA
錨,NA,NA,jun1kyu,NA,NA
彬,NA,NA,jun1kyu,NA,NA
芙,NA,NA,jun1kyu,NA,NA
葺,NA,NA,jun1kyu,NA,NA
吻,NA,NA,jun1kyu,NA,NA
僻,NA,NA,jun1kyu,NA,NA
娩,NA,NA,jun1kyu,NA,NA
輔,NA,NA,jun1kyu,NA,NA
庖,NA,NA,jun1kyu,NA,NA
蓬,NA,NA,jun1kyu,NA,NA
吠,NA,NA,jun1kyu,NA,NA
幌,NA,NA,jun1kyu,NA,NA
鱒,NA,NA,jun1kyu,NA,NA
麿,NA,NA,jun1kyu,NA,NA
蓑,NA,NA,jun1kyu,NA,NA
椋,NA,NA,jun1kyu,NA,NA
摸,NA,NA,jun1kyu,NA,NA
勿,NA,NA,jun1kyu,NA,NA
匁,NA,NA,jun1kyu,NA,NA
薮,NA,NA,jun1kyu,NA,NA
揖,NA,NA,jun1kyu,NA,NA
邑,NA,NA,jun1kyu,NA,NA
耀,NA,NA,jun1kyu,NA,NA
螺,NA,NA,jun1kyu,NA,NA
裡,NA,NA,jun1kyu,NA,NA
琉,NA,NA,jun1kyu,NA,NA
諒,NA,NA,jun1kyu,NA,NA
鱗,NA,NA,jun1kyu,NA,NA
玲,NA,NA,jun1kyu,NA,NA
簾,NA,NA,jun1kyu,NA,NA
婁,NA,NA,jun1kyu,NA,NA
蝋,NA,NA,jun1kyu,NA,NA
鷲,NA,NA,jun1kyu,NA,NA
藁,NA,NA,jun1kyu,NA,NA
兔,NA,NA,jun1kyu,NA,NA
壺,NA,NA,jun1kyu,NA,NA
廏,NA,NA,jun1kyu,NA,NA
橢,NA,NA,jun1kyu,NA,NA
灌,NA,NA,jun1kyu,NA,NA
龝,NA,NA,jun1kyu,NA,NA
聨,NA,NA,jun1kyu,NA,NA
蘂,NA,NA,jun1kyu,NA,NA
蠅,NA,NA,jun1kyu,NA,NA
賤,NA,NA,jun1kyu,NA,NA
韃,NA,NA,jun1kyu,NA,NA
鴦,NA,NA,jun1kyu,NA,NA
俠,NA,NA,jun1kyu,NA,NA
啞,NA,NA,jun1kyu,NA,NA
帀,NA,NA,jun1kyu,NA,NA
瀆,NA,NA,jun1kyu,NA,NA
繡,NA,NA,jun1kyu,NA,NA
蜎,NA,NA,jun1kyu,NA,NA
醬,NA,NA,jun1kyu,NA,NA
鹼,NA,NA,jun1kyu,NA,NA
姶,NA,NA,jun1kyu,NA,NA
渥,NA,NA,jun1kyu,NA,NA
斡,NA,NA,jun1kyu,NA,NA
綾,NA,NA,jun1kyu,NA,NA
庵,NA,NA,jun1kyu,NA,NA
夷,NA,NA,jun1kyu,NA,NA
磯,NA,NA,jun1kyu,NA,NA
蔭,NA,NA,jun1kyu,NA,NA
鵜,NA,NA,jun1kyu,NA,NA
蔚,NA,NA,jun1kyu,NA,NA
閏,NA,NA,jun1kyu,NA,NA
嬰,NA,NA,jun1kyu,NA,NA
穎,NA,NA,jun1kyu,NA,NA
奄,NA,NA,jun1kyu,NA,NA
薗,NA,NA,jun1kyu,NA,NA
鴬,NA,NA,jun1kyu,NA,NA
伽,NA,NA,jun1kyu,NA,NA
蝦,NA,NA,jun1kyu,NA,NA
峨,NA,NA,jun1kyu,NA,NA
恢,NA,NA,jun1kyu,NA,NA
凱,NA,NA,jun1kyu,NA,NA
馨,NA,NA,jun1kyu,NA,NA
廓,NA,NA,jun1kyu,NA,NA
橿,NA,NA,jun1kyu,NA,NA
叶,NA,NA,jun1kyu,NA,NA
竃,NA,NA,jun1kyu,NA,NA
萱,NA,NA,jun1kyu,NA,NA
柑,NA,NA,jun1kyu,NA,NA
翰,NA,NA,jun1kyu,NA,NA
癌,NA,NA,jun1kyu,NA,NA
毅,NA,NA,jun1kyu,NA,NA
蟻,NA,NA,jun1kyu,NA,NA
桔,NA,NA,jun1kyu,NA,NA
仇,NA,NA,jun1kyu,NA,NA
鋸,NA,NA,jun1kyu,NA,NA
兇,NA,NA,jun1kyu,NA,NA
怯,NA,NA,jun1kyu,NA,NA
粁,NA,NA,jun1kyu,NA,NA
衿,NA,NA,jun1kyu,NA,NA
躯,NA,NA,jun1kyu,NA,NA
釧,NA,NA,jun1kyu,NA,NA
隈,NA,NA,jun1kyu,NA,NA
袈,NA,NA,jun1kyu,NA,NA
桂,NA,NA,jun1kyu,NA,NA
頚,NA,NA,jun1kyu,NA,NA
捲,NA,NA,jun1kyu,NA,NA
諺,NA,NA,jun1kyu,NA,NA
袴,NA,NA,jun1kyu,NA,NA
伍,NA,NA,jun1kyu,NA,NA
醐,NA,NA,jun1kyu,NA,NA
宏,NA,NA,jun1kyu,NA,NA
晃,NA,NA,jun1kyu,NA,NA
肱,NA,NA,jun1kyu,NA,NA
鴻,NA,NA,jun1kyu,NA,NA
麹,NA,NA,jun1kyu,NA,NA
惚,NA,NA,jun1kyu,NA,NA
梱,NA,NA,jun1kyu,NA,NA
瑳,NA,NA,jun1kyu,NA,NA
砦,NA,NA,jun1kyu,NA,NA
鷺,NA,NA,jun1kyu,NA,NA
匙,NA,NA,jun1kyu,NA,NA
錆,NA,NA,jun1kyu,NA,NA
珊,NA,NA,jun1kyu,NA,NA
屍,NA,NA,jun1kyu,NA,NA
痔,NA,NA,jun1kyu,NA,NA
竺,NA,NA,jun1kyu,NA,NA
篠,NA,NA,jun1kyu,NA,NA
縞,NA,NA,jun1kyu,NA,NA
錫,NA,NA,jun1kyu,NA,NA
蒐,NA,NA,jun1kyu,NA,NA
夙,NA,NA,jun1kyu,NA,NA
楯,NA,NA,jun1kyu,NA,NA
薯,NA,NA,jun1kyu,NA,NA
嘗,NA,NA,jun1kyu,NA,NA
捷,NA,NA,jun1kyu,NA,NA
湘,NA,NA,jun1kyu,NA,NA
醤,NA,NA,jun1kyu,NA,NA
擾,NA,NA,jun1kyu,NA,NA
蝕,NA,NA,jun1kyu,NA,NA
塵,NA,NA,jun1kyu,NA,NA
諏,NA,NA,jun1kyu,NA,NA
錘,NA,NA,jun1kyu,NA,NA
椙,NA,NA,jun1kyu,NA,NA
棲,NA,NA,jun1kyu,NA,NA
蝉,NA,NA,jun1kyu,NA,NA
穿,NA,NA,jun1kyu,NA,NA
閃,NA,NA,jun1kyu,NA,NA
疏,NA,NA,jun1kyu,NA,NA
匝,NA,NA,jun1kyu,NA,NA
糟,NA,NA,jun1kyu,NA,NA
其,NA,NA,jun1kyu,NA,NA
楕,NA,NA,jun1kyu,NA,NA
苔,NA,NA,jun1kyu,NA,NA
啄,NA,NA,jun1kyu,NA,NA
凧,NA,NA,jun1kyu,NA,NA
巽,NA,NA,jun1kyu,NA,NA
樽,NA,NA,jun1kyu,NA,NA
耽,NA,NA,jun1kyu,NA,NA
蜘,NA,NA,jun1kyu,NA,NA
瀦,NA,NA,jun1kyu,NA,NA
寵,NA,NA,jun1kyu,NA,NA
蝶,NA,NA,jun1kyu,NA,NA
栂,NA,NA,jun1kyu,NA,NA
辻,NA,NA,jun1kyu,NA,NA
壷,NA,NA,jun1kyu,NA,NA
悌,NA,NA,jun1kyu,NA,NA
禎,NA,NA,jun1kyu,NA,NA
擢,NA,NA,jun1kyu,NA,NA
顛,NA,NA,jun1kyu,NA,NA
菟,NA,NA,jun1kyu,NA,NA
套,NA,NA,jun1kyu,NA,NA
涛,NA,NA,jun1kyu,NA,NA
撞,NA,NA,jun1kyu,NA,NA
橡,NA,NA,jun1kyu,NA,NA
酉,NA,NA,jun1kyu,NA,NA
沌,NA,NA,jun1kyu,NA,NA
薙,NA,NA,jun1kyu,NA,NA
畷,NA,NA,jun1kyu,NA,NA
韮,NA,NA,jun1kyu,NA,NA
撚,NA,NA,jun1kyu,NA,NA
嚢,NA,NA,jun1kyu,NA,NA
播,NA,NA,jun1kyu,NA,NA
牌,NA,NA,jun1kyu,NA,NA
蝿,NA,NA,jun1kyu,NA,NA
箔,NA,NA,jun1kyu,NA,NA
函,NA,NA,jun1kyu,NA,NA
畠,NA,NA,jun1kyu,NA,NA
噺,NA,NA,jun1kyu,NA,NA
挽,NA,NA,jun1kyu,NA,NA
斐,NA,NA,jun1kyu,NA,NA
枇,NA,NA,jun1kyu,NA,NA
疋,NA,NA,jun1kyu,NA,NA
畢,NA,NA,jun1kyu,NA,NA
彪,NA,NA,jun1kyu,NA,NA
鋲,NA,NA,jun1kyu,NA,NA
斌,NA,NA,jun1kyu,NA,NA
撫,NA,NA,jun1kyu,NA,NA
蕗,NA,NA,jun1kyu,NA,NA
扮,NA,NA,jun1kyu,NA,NA
碧,NA,NA,jun1kyu,NA,NA
鞭,NA,NA,jun1kyu,NA,NA
戊,NA,NA,jun1kyu,NA,NA
捧,NA,NA,jun1kyu,NA,NA
鋒,NA,NA,jun1kyu,NA,NA
卜,NA,NA,jun1kyu,NA,NA
哩,NA,NA,jun1kyu,NA,NA
亦,NA,NA,jun1kyu,NA,NA
蔓,NA,NA,jun1kyu,NA,NA
稔,NA,NA,jun1kyu,NA,NA
姪,NA,NA,jun1kyu,NA,NA
孟,NA,NA,jun1kyu,NA,NA
尤,NA,NA,jun1kyu,NA,NA
也,NA,NA,jun1kyu,NA,NA
鑓,NA,NA,jun1kyu,NA,NA
柚,NA,NA,jun1kyu,NA,NA
輿,NA,NA,jun1kyu,NA,NA
蓉,NA,NA,jun1kyu,NA,NA
莱,NA,NA,jun1kyu,NA,NA
葎,NA,NA,jun1kyu,NA,NA
亮,NA,NA,jun1kyu,NA,NA
遼,NA,NA,jun1kyu,NA,NA
麟,NA,NA,jun1kyu,NA,NA
苓,NA,NA,jun1kyu,NA,NA
聯,NA,NA,jun1kyu,NA,NA
牢,NA,NA,jun1kyu,NA,NA
禄,NA,NA,jun1kyu,NA,NA
亙,NA,NA,jun1kyu,NA,NA
蕨,NA,NA,jun1kyu,NA,NA
凰,NA,NA,jun1kyu,NA,NA
峩,NA,NA,jun1kyu,NA,NA
廚,NA,NA,jun1kyu,NA,NA
濤,NA,NA,jun1kyu,NA,NA
潴,NA,NA,jun1kyu,NA,NA
竈,NA,NA,jun1kyu,NA,NA
苒,NA,NA,jun1kyu,NA,NA
蕋,NA,NA,jun1kyu,NA,NA
蠏,NA,NA,jun1kyu,NA,NA
迺,NA,NA,jun1kyu,NA,NA
韭,NA,NA,jun1kyu,NA,NA
鶯,NA,NA,jun1kyu,NA,NA
